# temperature_kelvin sz-expectation_hbar
2.00000000e-02 9.70259903e-01
2.99799599e-02 9.55419655e-01
3.99599198e-02 9.40579406e-01
4.99398798e-02 9.25739157e-01
5.99198397e-02 9.10898909e-01
6.98997996e-02 8.96058669e-01
7.98797595e-02 8.81218509e-01
8.98597194e-02 8.66378795e-01
9.98396794e-02 8.51540735e-01
1.09819639e-01 8.36707262e-01
1.19799599e-01 8.21884038e-01
1.29779559e-01 8.07080290e-01
1.39759519e-01 7.92309230e-01
1.49739479e-01 7.77587962e-01
1.59719439e-01 7.62936941e-01
1.69699399e-01 7.48379113e-01
1.79679359e-01 7.33938907e-01
1.89659319e-01 7.19641214e-01
1.99639279e-01 7.05510459e-01
2.09619238e-01 6.91569831e-01
2.19599198e-01 6.77840696e-01
2.29579158e-01 6.64342183e-01
2.39559118e-01 6.51090946e-01
2.49539078e-01 6.38101055e-01
2.59519038e-01 6.25384002e-01
2.69498998e-01 6.12948789e-01
2.79478958e-01 6.00802076e-01
2.89458918e-01 5.88948367e-01
2.99438878e-01 5.77390216e-01
3.09418838e-01 5.66128442e-01
3.19398798e-01 5.55162342e-01
3.29378758e-01 5.44489900e-01
3.39358717e-01 5.34107976e-01
3.49338677e-01 5.24012493e-01
3.59318637e-01 5.14198592e-01
3.69298597e-01 5.04660782e-01
3.79278557e-01 4.95393069e-01
3.89258517e-01 4.86389070e-01
3.99238477e-01 4.77642111e-01
4.09218437e-01 4.69145315e-01
4.19198397e-01 4.60891674e-01
4.29178357e-01 4.52874111e-01
4.39158317e-01 4.45085535e-01
4.49138277e-01 4.37518882e-01
4.59118236e-01 4.30167153e-01
4.69098196e-01 4.23023445e-01
4.79078156e-01 4.16080974e-01
4.89058116e-01 4.09333094e-01
4.99038076e-01 4.02773312e-01
5.09018036e-01 3.96395301e-01
5.18997996e-01 3.90192906e-01
5.28977956e-01 3.84160152e-01
5.38957916e-01 3.78291248e-01
5.48937876e-01 3.72580585e-01
5.58917836e-01 3.67022741e-01
5.68897796e-01 3.61612477e-01
5.78877756e-01 3.56344736e-01
5.88857715e-01 3.51214641e-01
5.98837675e-01 3.46217489e-01
6.08817635e-01 3.41348751e-01
6.18797595e-01 3.36604065e-01
6.28777555e-01 3.31979232e-01
6.38757515e-01 3.27470209e-01
6.48737475e-01 3.23073109e-01
6.58717435e-01 3.18784192e-01
6.68697395e-01 3.14599860e-01
6.78677355e-01 3.10516654e-01
6.88657315e-01 3.06531248e-01
6.98637275e-01 3.02640443e-01
7.08617234e-01 2.98841162e-01
7.18597194e-01 2.95130449e-01
7.28577154e-01 2.91505459e-01
7.38557114e-01 2.87963458e-01
7.48537074e-01 2.84501815e-01
7.58517034e-01 2.81118000e-01
7.68496994e-01 2.77809580e-01
7.78476954e-01 2.74574213e-01
7.88456914e-01 2.71409647e-01
7.98436874e-01 2.68313712e-01
8.08416834e-01 2.65284323e-01
8.18396794e-01 2.62319472e-01
8.28376754e-01 2.59417222e-01
8.38356713e-01 2.56575713e-01
8.48336673e-01 2.53793151e-01
8.58316633e-01 2.51067806e-01
8.68296593e-01 2.48398014e-01
8.78276553e-01 2.45782170e-01
8.88256513e-01 2.43218727e-01
8.98236473e-01 2.40706194e-01
9.08216433e-01 2.38243131e-01
9.18196393e-01 2.35828152e-01
9.28176353e-01 2.33459919e-01
9.38156313e-01 2.31137138e-01
9.48136273e-01 2.28858565e-01
9.58116232e-01 2.26622996e-01
9.68096192e-01 2.24429268e-01
9.78076152e-01 2.22276259e-01
9.88056112e-01 2.20162885e-01
9.98036072e-01 2.18088098e-01
1.00801603e+00 2.16050886e-01
1.01799599e+00 2.14050271e-01
1.02797595e+00 2.12085306e-01
1.03795591e+00 2.10155076e-01
1.04793587e+00 2.08258697e-01
1.05791583e+00 2.06395311e-01
1.06789579e+00 2.04564090e-01
1.07787575e+00 2.02764233e-01
1.08785571e+00 2.00994962e-01
1.09783567e+00 1.99255526e-01
1.10781563e+00 1.97545197e-01
1.11779559e+00 1.95863270e-01
1.12777555e+00 1.94209060e-01
1.13775551e+00 1.92581907e-01
1.14773547e+00 1.90981167e-01
1.15771543e+00 1.89406219e-01
1.16769539e+00 1.87856459e-01
1.17767535e+00 1.86331302e-01
1.18765531e+00 1.84830180e-01
1.19763527e+00 1.83352542e-01
1.20761523e+00 1.81897854e-01
1.21759519e+00 1.80465597e-01
1.22757515e+00 1.79055266e-01
1.23755511e+00 1.77666374e-01
1.24753507e+00 1.76298444e-01
1.25751503e+00 1.74951017e-01
1.26749499e+00 1.73623642e-01
1.27747495e+00 1.72315886e-01
1.28745491e+00 1.71027323e-01
1.29743487e+00 1.69757544e-01
1.30741483e+00 1.68506148e-01
1.31739479e+00 1.67272746e-01
1.32737475e+00 1.66056960e-01
1.33735471e+00 1.64858422e-01
1.34733467e+00 1.63676773e-01
1.35731463e+00 1.62511666e-01
1.36729459e+00 1.61362761e-01
1.37727455e+00 1.60229729e-01
1.38725451e+00 1.59112248e-01
1.39723447e+00 1.58010006e-01
1.40721443e+00 1.56922697e-01
1.41719439e+00 1.55850026e-01
1.42717435e+00 1.54791702e-01
1.43715431e+00 1.53747446e-01
1.44713427e+00 1.52716982e-01
1.45711423e+00 1.51700043e-01
1.46709419e+00 1.50696368e-01
1.47707415e+00 1.49705703e-01
1.48705411e+00 1.48727801e-01
1.49703407e+00 1.47762420e-01
1.50701403e+00 1.46809324e-01
1.51699399e+00 1.45868283e-01
1.52697395e+00 1.44939074e-01
1.53695391e+00 1.44021477e-01
1.54693387e+00 1.43115280e-01
1.55691383e+00 1.42220273e-01
1.56689379e+00 1.41336253e-01
1.57687375e+00 1.40463023e-01
1.58685371e+00 1.39600387e-01
1.59683367e+00 1.38748157e-01
1.60681363e+00 1.37906148e-01
1.61679359e+00 1.37074179e-01
1.62677355e+00 1.36252074e-01
1.63675351e+00 1.35439660e-01
1.64673347e+00 1.34636769e-01
1.65671343e+00 1.33843237e-01
1.66669339e+00 1.33058903e-01
1.67667335e+00 1.32283609e-01
1.68665331e+00 1.31517202e-01
1.69663327e+00 1.30759532e-01
1.70661323e+00 1.30010451e-01
1.71659319e+00 1.29269816e-01
1.72657315e+00 1.28537487e-01
1.73655311e+00 1.27813325e-01
1.74653307e+00 1.27097197e-01
1.75651303e+00 1.26388970e-01
1.76649299e+00 1.25688517e-01
1.77647295e+00 1.24995710e-01
1.78645291e+00 1.24310427e-01
1.79643287e+00 1.23632548e-01
1.80641283e+00 1.22961953e-01
1.81639279e+00 1.22298527e-01
1.82637275e+00 1.21642157e-01
1.83635271e+00 1.20992731e-01
1.84633267e+00 1.20350143e-01
1.85631263e+00 1.19714283e-01
1.86629259e+00 1.19085050e-01
1.87627255e+00 1.18462340e-01
1.88625251e+00 1.17846053e-01
1.89623246e+00 1.17236092e-01
1.90621242e+00 1.16632361e-01
1.91619238e+00 1.16034764e-01
1.92617234e+00 1.15443211e-01
1.93615230e+00 1.14857610e-01
1.94613226e+00 1.14277873e-01
1.95611222e+00 1.13703913e-01
1.96609218e+00 1.13135644e-01
1.97607214e+00 1.12572984e-01
1.98605210e+00 1.12015850e-01
1.99603206e+00 1.11464161e-01
2.00601202e+00 1.10917840e-01
2.01599198e+00 1.10376808e-01
2.02597194e+00 1.09840990e-01
2.03595190e+00 1.09310311e-01
2.04593186e+00 1.08784699e-01
2.05591182e+00 1.08264081e-01
2.06589178e+00 1.07748387e-01
2.07587174e+00 1.07237549e-01
2.08585170e+00 1.06731498e-01
2.09583166e+00 1.06230167e-01
2.10581162e+00 1.05733493e-01
2.11579158e+00 1.05241410e-01
2.12577154e+00 1.04753855e-01
2.13575150e+00 1.04270768e-01
2.14573146e+00 1.03792086e-01
2.15571142e+00 1.03317751e-01
2.16569138e+00 1.02847704e-01
2.17567134e+00 1.02381887e-01
2.18565130e+00 1.01920244e-01
2.19563126e+00 1.01462720e-01
2.20561122e+00 1.01009259e-01
2.21559118e+00 1.00559809e-01
2.22557114e+00 1.00114317e-01
2.23555110e+00 9.96727301e-02
2.24553106e+00 9.92349988e-02
2.25551102e+00 9.88010727e-02
2.26549098e+00 9.83709027e-02
2.27547094e+00 9.79444406e-02
2.28545090e+00 9.75216388e-02
2.29543086e+00 9.71024507e-02
2.30541082e+00 9.66868305e-02
2.31539078e+00 9.62747330e-02
2.32537074e+00 9.58661140e-02
2.33535070e+00 9.54609297e-02
2.34533066e+00 9.50591374e-02
2.35531062e+00 9.46606948e-02
2.36529058e+00 9.42655605e-02
2.37527054e+00 9.38736936e-02
2.38525050e+00 9.34850540e-02
2.39523046e+00 9.30996022e-02
2.40521042e+00 9.27172994e-02
2.41519038e+00 9.23381073e-02
2.42517034e+00 9.19619883e-02
2.43515030e+00 9.15889054e-02
2.44513026e+00 9.12188222e-02
2.45511022e+00 9.08517028e-02
2.46509018e+00 9.04875119e-02
2.47507014e+00 9.01262148e-02
2.48505010e+00 8.97677774e-02
2.49503006e+00 8.94121659e-02
2.50501002e+00 8.90593473e-02
2.51498998e+00 8.87092890e-02
2.52496994e+00 8.83619587e-02
2.53494990e+00 8.80173250e-02
2.54492986e+00 8.76753566e-02
2.55490982e+00 8.73360230e-02
2.56488978e+00 8.69992939e-02
2.57486974e+00 8.66651396e-02
2.58484970e+00 8.63335308e-02
2.59482966e+00 8.60044387e-02
2.60480962e+00 8.56778349e-02
2.61478958e+00 8.53536913e-02
2.62476954e+00 8.50319804e-02
2.63474950e+00 8.47126750e-02
2.64472946e+00 8.43957484e-02
2.65470942e+00 8.40811742e-02
2.66468938e+00 8.37689265e-02
2.67466934e+00 8.34589795e-02
2.68464930e+00 8.31513082e-02
2.69462926e+00 8.28458875e-02
2.70460922e+00 8.25426931e-02
2.71458918e+00 8.22417008e-02
2.72456914e+00 8.19428867e-02
2.73454910e+00 8.16462274e-02
2.74452906e+00 8.13516998e-02
2.75450902e+00 8.10592811e-02
2.76448898e+00 8.07689488e-02
2.77446894e+00 8.04806806e-02
2.78444890e+00 8.01944549e-02
2.79442886e+00 7.99102500e-02
2.80440882e+00 7.96280447e-02
2.81438878e+00 7.93478180e-02
2.82436874e+00 7.90695494e-02
2.83434870e+00 7.87932183e-02
2.84432866e+00 7.85188048e-02
2.85430862e+00 7.82462889e-02
2.86428858e+00 7.79756513e-02
2.87426854e+00 7.77068725e-02
2.88424850e+00 7.74399336e-02
2.89422846e+00 7.71748158e-02
2.90420842e+00 7.69115006e-02
2.91418838e+00 7.66499698e-02
2.92416834e+00 7.63902053e-02
2.93414830e+00 7.61321893e-02
2.94412826e+00 7.58759044e-02
2.95410822e+00 7.56213333e-02
2.96408818e+00 7.53684587e-02
2.97406814e+00 7.51172640e-02
2.98404810e+00 7.48677325e-02
2.99402806e+00 7.46198478e-02
3.00400802e+00 7.43735937e-02
3.01398798e+00 7.41289541e-02
3.02396794e+00 7.38859134e-02
3.03394790e+00 7.36444559e-02
3.04392786e+00 7.34045664e-02
3.05390782e+00 7.31662295e-02
3.06388778e+00 7.29294304e-02
3.07386774e+00 7.26941542e-02
3.08384770e+00 7.24603864e-02
3.09382766e+00 7.22281126e-02
3.10380762e+00 7.19973184e-02
3.11378758e+00 7.17679899e-02
3.12376754e+00 7.15401132e-02
3.13374749e+00 7.13136746e-02
3.14372745e+00 7.10886605e-02
3.15370741e+00 7.08650577e-02
3.16368737e+00 7.06428528e-02
3.17366733e+00 7.04220329e-02
3.18364729e+00 7.02025851e-02
3.19362725e+00 6.99844967e-02
3.20360721e+00 6.97677552e-02
3.21358717e+00 6.95523481e-02
3.22356713e+00 6.93382631e-02
3.23354709e+00 6.91254883e-02
3.24352705e+00 6.89140116e-02
3.25350701e+00 6.87038212e-02
3.26348697e+00 6.84949055e-02
3.27346693e+00 6.82872529e-02
3.28344689e+00 6.80808520e-02
3.29342685e+00 6.78756917e-02
3.30340681e+00 6.76717606e-02
3.31338677e+00 6.74690480e-02
3.32336673e+00 6.72675429e-02
3.33334669e+00 6.70672346e-02
3.34332665e+00 6.68681125e-02
3.35330661e+00 6.66701661e-02
3.36328657e+00 6.64733851e-02
3.37326653e+00 6.62777592e-02
3.38324649e+00 6.60832784e-02
3.39322645e+00 6.58899325e-02
3.40320641e+00 6.56977118e-02
3.41318637e+00 6.55066065e-02
3.42316633e+00 6.53166068e-02
3.43314629e+00 6.51277034e-02
3.44312625e+00 6.49398867e-02
3.45310621e+00 6.47531474e-02
3.46308617e+00 6.45674763e-02
3.47306613e+00 6.43828642e-02
3.48304609e+00 6.41993022e-02
3.49302605e+00 6.40167814e-02
3.50300601e+00 6.38352929e-02
3.51298597e+00 6.36548281e-02
3.52296593e+00 6.34753782e-02
3.53294589e+00 6.32969349e-02
3.54292585e+00 6.31194896e-02
3.55290581e+00 6.29430340e-02
3.56288577e+00 6.27675600e-02
3.57286573e+00 6.25930593e-02
3.58284569e+00 6.24195239e-02
3.59282565e+00 6.22469458e-02
3.60280561e+00 6.20753172e-02
3.61278557e+00 6.19046302e-02
3.62276553e+00 6.17348772e-02
3.63274549e+00 6.15660505e-02
3.64272545e+00 6.13981425e-02
3.65270541e+00 6.12311459e-02
3.66268537e+00 6.10650532e-02
3.67266533e+00 6.08998571e-02
3.68264529e+00 6.07355504e-02
3.69262525e+00 6.05721259e-02
3.70260521e+00 6.04095767e-02
3.71258517e+00 6.02478956e-02
3.72256513e+00 6.00870758e-02
3.73254509e+00 5.99271104e-02
3.74252505e+00 5.97679926e-02
3.75250501e+00 5.96097158e-02
3.76248497e+00 5.94522732e-02
3.77246493e+00 5.92956584e-02
3.78244489e+00 5.91398648e-02
3.79242485e+00 5.89848861e-02
3.80240481e+00 5.88307157e-02
3.81238477e+00 5.86773476e-02
3.82236473e+00 5.85247753e-02
3.83234469e+00 5.83729928e-02
3.84232465e+00 5.82219939e-02
3.85230461e+00 5.80717727e-02
3.86228457e+00 5.79223230e-02
3.87226453e+00 5.77736391e-02
3.88224449e+00 5.76257151e-02
3.89222445e+00 5.74785450e-02
3.90220441e+00 5.73321233e-02
3.91218437e+00 5.71864443e-02
3.92216433e+00 5.70415022e-02
3.93214429e+00 5.68972916e-02
3.94212425e+00 5.67538069e-02
3.95210421e+00 5.66110426e-02
3.96208417e+00 5.64689935e-02
3.97206413e+00 5.63276540e-02
3.98204409e+00 5.61870190e-02
3.99202405e+00 5.60470832e-02
4.00200401e+00 5.59078413e-02
4.01198397e+00 5.57692883e-02
4.02196393e+00 5.56314190e-02
