# temperature_kelvin sz-expectation_hbar
2.00000000e-02 9.70259897e-01
2.99799599e-02 9.55365165e-01
3.99599198e-02 9.37359239e-01
4.99398798e-02 8.98812141e-01
5.99198397e-02 8.27931252e-01
6.98997996e-02 7.52051569e-01
7.98797595e-02 7.00415758e-01
8.98597194e-02 6.76826041e-01
9.98396794e-02 6.73274591e-01
1.09819639e-01 6.81740112e-01
1.19799599e-01 6.96786470e-01
1.29779559e-01 7.15094654e-01
1.39759519e-01 7.34689807e-01
1.49739479e-01 7.54400120e-01
1.59719439e-01 7.73531587e-01
1.69699399e-01 7.91678702e-01
1.79679359e-01 8.08613521e-01
1.89659319e-01 8.24219300e-01
1.99639279e-01 8.38449809e-01
2.09619238e-01 8.51303787e-01
2.19599198e-01 8.62808563e-01
2.29579158e-01 8.73009369e-01
2.39559118e-01 8.81962275e-01
2.49539078e-01 8.89729477e-01
2.59519038e-01 8.96376139e-01
2.69498998e-01 9.01968282e-01
2.79478958e-01 9.06571366e-01
2.89458918e-01 9.10249367e-01
2.99438878e-01 9.13064178e-01
3.09418838e-01 9.15075239e-01
3.19398798e-01 9.16339324e-01
3.29378758e-01 9.16910435e-01
3.39358717e-01 9.16839775e-01
3.49338677e-01 9.16175767e-01
3.59318637e-01 9.14964105e-01
3.69298597e-01 9.13247835e-01
3.79278557e-01 9.11067447e-01
3.89258517e-01 9.08460972e-01
3.99238477e-01 9.05464089e-01
4.09218437e-01 9.02110234e-01
4.19198397e-01 8.98430706e-01
4.29178357e-01 8.94454778e-01
4.39158317e-01 8.90209797e-01
4.49138277e-01 8.85721289e-01
4.59118236e-01 8.81013061e-01
4.69098196e-01 8.76107294e-01
4.79078156e-01 8.71024635e-01
4.89058116e-01 8.65784290e-01
4.99038076e-01 8.60404105e-01
5.09018036e-01 8.54900650e-01
5.18997996e-01 8.49289298e-01
5.28977956e-01 8.43584294e-01
5.38957916e-01 8.37798830e-01
5.48937876e-01 8.31945110e-01
5.58917836e-01 8.26034416e-01
5.68897796e-01 8.20077161e-01
5.78877756e-01 8.14082954e-01
5.88857715e-01 8.08060648e-01
5.98837675e-01 8.02018392e-01
6.08817635e-01 7.95963679e-01
6.18797595e-01 7.89903390e-01
6.28777555e-01 7.83843835e-01
6.38757515e-01 7.77790795e-01
6.48737475e-01 7.71749555e-01
6.58717435e-01 7.65724945e-01
6.68697395e-01 7.59721365e-01
6.78677355e-01 7.53742820e-01
6.88657315e-01 7.47792948e-01
6.98637275e-01 7.41875044e-01
7.08617234e-01 7.35992088e-01
7.18597194e-01 7.30146767e-01
7.28577154e-01 7.24341496e-01
7.38557114e-01 7.18578437e-01
7.48537074e-01 7.12859523e-01
7.58517034e-01 7.07186467e-01
7.68496994e-01 7.01560787e-01
7.78476954e-01 6.95983816e-01
7.88456914e-01 6.90456717e-01
7.98436874e-01 6.84980496e-01
8.08416834e-01 6.79556016e-01
8.18396794e-01 6.74184007e-01
8.28376754e-01 6.68865075e-01
8.38356713e-01 6.63599716e-01
8.48336673e-01 6.58388320e-01
8.58316633e-01 6.53231183e-01
8.68296593e-01 6.48128514e-01
8.78276553e-01 6.43080442e-01
8.88256513e-01 6.38087023e-01
8.98236473e-01 6.33148246e-01
9.08216433e-01 6.28264037e-01
9.18196393e-01 6.23434271e-01
9.28176353e-01 6.18658767e-01
9.38156313e-01 6.13937301e-01
9.48136273e-01 6.09269605e-01
9.58116232e-01 6.04655377e-01
9.68096192e-01 6.00094276e-01
9.78076152e-01 5.95585933e-01
9.88056112e-01 5.91129951e-01
9.98036072e-01 5.86725907e-01
1.00801603e+00 5.82373358e-01
1.01799599e+00 5.78071838e-01
1.02797595e+00 5.73820867e-01
1.03795591e+00 5.69619949e-01
1.04793587e+00 5.65468572e-01
1.05791583e+00 5.61366216e-01
1.06789579e+00 5.57312349e-01
1.07787575e+00 5.53306431e-01
1.08785571e+00 5.49347915e-01
1.09783567e+00 5.45436249e-01
1.10781563e+00 5.41570876e-01
1.11779559e+00 5.37751236e-01
1.12777555e+00 5.33976765e-01
1.13775551e+00 5.30246899e-01
1.14773547e+00 5.26561073e-01
1.15771543e+00 5.22918721e-01
1.16769539e+00 5.19319280e-01
1.17767535e+00 5.15762187e-01
1.18765531e+00 5.12246880e-01
1.19763527e+00 5.08772801e-01
1.20761523e+00 5.05339395e-01
1.21759519e+00 5.01946110e-01
1.22757515e+00 4.98592396e-01
1.23755511e+00 4.95277711e-01
1.24753507e+00 4.92001514e-01
1.25751503e+00 4.88763271e-01
1.26749499e+00 4.85562450e-01
1.27747495e+00 4.82398529e-01
1.28745491e+00 4.79270986e-01
1.29743487e+00 4.76179309e-01
1.30741483e+00 4.73122989e-01
1.31739479e+00 4.70101524e-01
1.32737475e+00 4.67114417e-01
1.33735471e+00 4.64161179e-01
1.34733467e+00 4.61241326e-01
1.35731463e+00 4.58354378e-01
1.36729459e+00 4.55499866e-01
1.37727455e+00 4.52677323e-01
1.38725451e+00 4.49886289e-01
1.39723447e+00 4.47126314e-01
1.40721443e+00 4.44396949e-01
1.41719439e+00 4.41697755e-01
1.42717435e+00 4.39028299e-01
1.43715431e+00 4.36388151e-01
1.44713427e+00 4.33776892e-01
1.45711423e+00 4.31194107e-01
1.46709419e+00 4.28639385e-01
1.47707415e+00 4.26112325e-01
1.48705411e+00 4.23612530e-01
1.49703407e+00 4.21139610e-01
1.50701403e+00 4.18693180e-01
1.51699399e+00 4.16272861e-01
1.52697395e+00 4.13878281e-01
1.53695391e+00 4.11509072e-01
1.54693387e+00 4.09164875e-01
1.55691383e+00 4.06845333e-01
1.56689379e+00 4.04550096e-01
1.57687375e+00 4.02278820e-01
1.58685371e+00 4.00031168e-01
1.59683367e+00 3.97806804e-01
1.60681363e+00 3.95605401e-01
1.61679359e+00 3.93426637e-01
1.62677355e+00 3.91270194e-01
1.63675351e+00 3.89135760e-01
1.64673347e+00 3.87023026e-01
1.65671343e+00 3.84931692e-01
1.66669339e+00 3.82861458e-01
1.67667335e+00 3.80812033e-01
1.68665331e+00 3.78783129e-01
1.69663327e+00 3.76774462e-01
1.70661323e+00 3.74785753e-01
1.71659319e+00 3.72816730e-01
1.72657315e+00 3.70867121e-01
1.73655311e+00 3.68936661e-01
1.74653307e+00 3.67025090e-01
1.75651303e+00 3.65132151e-01
1.76649299e+00 3.63257591e-01
1.77647295e+00 3.61401162e-01
1.78645291e+00 3.59562619e-01
1.79643287e+00 3.57741722e-01
1.80641283e+00 3.55938234e-01
1.81639279e+00 3.54151923e-01
1.82637275e+00 3.52382559e-01
1.83635271e+00 3.50629917e-01
1.84633267e+00 3.48893776e-01
1.85631263e+00 3.47173917e-01
1.86629259e+00 3.45470126e-01
1.87627255e+00 3.43782192e-01
1.88625251e+00 3.42109907e-01
1.89623246e+00 3.40453066e-01
1.90621242e+00 3.38811469e-01
1.91619238e+00 3.37184918e-01
1.92617234e+00 3.35573217e-01
1.93615230e+00 3.33976176e-01
1.94613226e+00 3.32393605e-01
1.95611222e+00 3.30825320e-01
1.96609218e+00 3.29271136e-01
1.97607214e+00 3.27730876e-01
1.98605210e+00 3.26204360e-01
1.99603206e+00 3.24691417e-01
2.00601202e+00 3.23191874e-01
2.01599198e+00 3.21705562e-01
2.02597194e+00 3.20232315e-01
2.03595190e+00 3.18771970e-01
2.04593186e+00 3.17324367e-01
2.05591182e+00 3.15889346e-01
2.06589178e+00 3.14466751e-01
2.07587174e+00 3.13056430e-01
2.08585170e+00 3.11658231e-01
2.09583166e+00 3.10272004e-01
2.10581162e+00 3.08897605e-01
2.11579158e+00 3.07534887e-01
2.12577154e+00 3.06183710e-01
2.13575150e+00 3.04843934e-01
2.14573146e+00 3.03515420e-01
2.15571142e+00 3.02198033e-01
2.16569138e+00 3.00891639e-01
2.17567134e+00 2.99596107e-01
2.18565130e+00 2.98311307e-01
2.19563126e+00 2.97037112e-01
2.20561122e+00 2.95773395e-01
2.21559118e+00 2.94520034e-01
2.22557114e+00 2.93276905e-01
2.23555110e+00 2.92043889e-01
2.24553106e+00 2.90820868e-01
2.25551102e+00 2.89607725e-01
2.26549098e+00 2.88404344e-01
2.27547094e+00 2.87210613e-01
2.28545090e+00 2.86026421e-01
2.29543086e+00 2.84851657e-01
2.30541082e+00 2.83686213e-01
2.31539078e+00 2.82529982e-01
2.32537074e+00 2.81382859e-01
2.33535070e+00 2.80244741e-01
2.34533066e+00 2.79115526e-01
2.35531062e+00 2.77995112e-01
2.36529058e+00 2.76883401e-01
2.37527054e+00 2.75780295e-01
2.38525050e+00 2.74685698e-01
2.39523046e+00 2.73599514e-01
2.40521042e+00 2.72521650e-01
2.41519038e+00 2.71452014e-01
2.42517034e+00 2.70390515e-01
2.43515030e+00 2.69337063e-01
2.44513026e+00 2.68291569e-01
2.45511022e+00 2.67253947e-01
2.46509018e+00 2.66224110e-01
2.47507014e+00 2.65201974e-01
2.48505010e+00 2.64187455e-01
2.49503006e+00 2.63180471e-01
2.50501002e+00 2.62180940e-01
2.51498998e+00 2.61188783e-01
2.52496994e+00 2.60203920e-01
2.53494990e+00 2.59226274e-01
2.54492986e+00 2.58255767e-01
2.55490982e+00 2.57292324e-01
2.56488978e+00 2.56335870e-01
2.57486974e+00 2.55386331e-01
2.58484970e+00 2.54443635e-01
2.59482966e+00 2.53507709e-01
2.60480962e+00 2.52578483e-01
2.61478958e+00 2.51655887e-01
2.62476954e+00 2.50739852e-01
2.63474950e+00 2.49830311e-01
2.64472946e+00 2.48927195e-01
2.65470942e+00 2.48030440e-01
2.66468938e+00 2.47139979e-01
2.67466934e+00 2.46255748e-01
2.68464930e+00 2.45377684e-01
2.69462926e+00 2.44505723e-01
2.70460922e+00 2.43639805e-01
2.71458918e+00 2.42779867e-01
2.72456914e+00 2.41925850e-01
2.73454910e+00 2.41077694e-01
2.74452906e+00 2.40235340e-01
2.75450902e+00 2.39398730e-01
2.76448898e+00 2.38567807e-01
2.77446894e+00 2.37742515e-01
2.78444890e+00 2.36922798e-01
2.79442886e+00 2.36108600e-01
2.80440882e+00 2.35299868e-01
2.81438878e+00 2.34496547e-01
2.82436874e+00 2.33698585e-01
2.83434870e+00 2.32905930e-01
2.84432866e+00 2.32118529e-01
2.85430862e+00 2.31336332e-01
2.86428858e+00 2.30559288e-01
2.87426854e+00 2.29787348e-01
2.88424850e+00 2.29020463e-01
2.89422846e+00 2.28258584e-01
2.90420842e+00 2.27501664e-01
2.91418838e+00 2.26749654e-01
2.92416834e+00 2.26002509e-01
2.93414830e+00 2.25260181e-01
2.94412826e+00 2.24522627e-01
2.95410822e+00 2.23789800e-01
2.96408818e+00 2.23061656e-01
2.97406814e+00 2.22338152e-01
2.98404810e+00 2.21619244e-01
2.99402806e+00 2.20904889e-01
3.00400802e+00 2.20195045e-01
3.01398798e+00 2.19489669e-01
3.02396794e+00 2.18788722e-01
3.03394790e+00 2.18092161e-01
3.04392786e+00 2.17399948e-01
3.05390782e+00 2.16712041e-01
3.06388778e+00 2.16028401e-01
3.07386774e+00 2.15348990e-01
3.08384770e+00 2.14673769e-01
3.09382766e+00 2.14002700e-01
3.10380762e+00 2.13335746e-01
3.11378758e+00 2.12672870e-01
3.12376754e+00 2.12014035e-01
3.13374749e+00 2.11359204e-01
3.14372745e+00 2.10708342e-01
3.15370741e+00 2.10061414e-01
3.16368737e+00 2.09418384e-01
3.17366733e+00 2.08779219e-01
3.18364729e+00 2.08143884e-01
3.19362725e+00 2.07512344e-01
3.20360721e+00 2.06884568e-01
3.21358717e+00 2.06260521e-01
3.22356713e+00 2.05640171e-01
3.23354709e+00 2.05023487e-01
3.24352705e+00 2.04410435e-01
3.25350701e+00 2.03800985e-01
3.26348697e+00 2.03195106e-01
3.27346693e+00 2.02592766e-01
3.28344689e+00 2.01993935e-01
3.29342685e+00 2.01398584e-01
3.30340681e+00 2.00806681e-01
3.31338677e+00 2.00218199e-01
3.32336673e+00 1.99633107e-01
3.33334669e+00 1.99051377e-01
3.34332665e+00 1.98472981e-01
3.35330661e+00 1.97897890e-01
3.36328657e+00 1.97326076e-01
3.37326653e+00 1.96757513e-01
3.38324649e+00 1.96192172e-01
3.39322645e+00 1.95630027e-01
3.40320641e+00 1.95071051e-01
3.41318637e+00 1.94515218e-01
3.42316633e+00 1.93962502e-01
3.43314629e+00 1.93412877e-01
3.44312625e+00 1.92866317e-01
3.45310621e+00 1.92322798e-01
3.46308617e+00 1.91782293e-01
3.47306613e+00 1.91244780e-01
3.48304609e+00 1.90710232e-01
3.49302605e+00 1.90178627e-01
3.50300601e+00 1.89649940e-01
3.51298597e+00 1.89124147e-01
3.52296593e+00 1.88601226e-01
3.53294589e+00 1.88081152e-01
3.54292585e+00 1.87563904e-01
3.55290581e+00 1.87049458e-01
3.56288577e+00 1.86537791e-01
3.57286573e+00 1.86028883e-01
3.58284569e+00 1.85522711e-01
3.59282565e+00 1.85019252e-01
3.60280561e+00 1.84518487e-01
3.61278557e+00 1.84020392e-01
3.62276553e+00 1.83524948e-01
3.63274549e+00 1.83032134e-01
3.64272545e+00 1.82541928e-01
3.65270541e+00 1.82054311e-01
3.66268537e+00 1.81569262e-01
3.67266533e+00 1.81086761e-01
3.68264529e+00 1.80606789e-01
3.69262525e+00 1.80129325e-01
3.70260521e+00 1.79654351e-01
3.71258517e+00 1.79181847e-01
3.72256513e+00 1.78711795e-01
3.73254509e+00 1.78244175e-01
3.74252505e+00 1.77778969e-01
3.75250501e+00 1.77316158e-01
3.76248497e+00 1.76855725e-01
3.77246493e+00 1.76397651e-01
3.78244489e+00 1.75941918e-01
3.79242485e+00 1.75488508e-01
3.80240481e+00 1.75037405e-01
3.81238477e+00 1.74588590e-01
3.82236473e+00 1.74142047e-01
3.83234469e+00 1.73697758e-01
3.84232465e+00 1.73255707e-01
3.85230461e+00 1.72815877e-01
3.86228457e+00 1.72378251e-01
3.87226453e+00 1.71942813e-01
3.88224449e+00 1.71509548e-01
3.89222445e+00 1.71078438e-01
3.90220441e+00 1.70649468e-01
3.91218437e+00 1.70222622e-01
3.92216433e+00 1.69797885e-01
3.93214429e+00 1.69375242e-01
3.94212425e+00 1.68954676e-01
3.95210421e+00 1.68536173e-01
3.96208417e+00 1.68119718e-01
3.97206413e+00 1.67705296e-01
3.98204409e+00 1.67292893e-01
3.99202405e+00 1.66882493e-01
4.00200401e+00 1.66474082e-01
4.01198397e+00 1.66067647e-01
4.02196393e+00 1.65663172e-01
4.03194389e+00 1.65260644e-01
4.04192385e+00 1.64860050e-01
4.05190381e+00 1.64461374e-01
4.06188377e+00 1.64064604e-01
4.07186373e+00 1.63669727e-01
4.08184369e+00 1.63276728e-01
4.09182365e+00 1.62885594e-01
4.10180361e+00 1.62496313e-01
4.11178357e+00 1.62108871e-01
4.12176353e+00 1.61723256e-01
4.13174349e+00 1.61339455e-01
4.14172345e+00 1.60957454e-01
4.15170341e+00 1.60577242e-01
4.16168337e+00 1.60198807e-01
4.17166333e+00 1.59822135e-01
4.18164329e+00 1.59447214e-01
4.19162325e+00 1.59074034e-01
4.20160321e+00 1.58702581e-01
4.21158317e+00 1.58332843e-01
4.22156313e+00 1.57964810e-01
4.23154309e+00 1.57598469e-01
4.24152305e+00 1.57233808e-01
4.25150301e+00 1.56870817e-01
4.26148297e+00 1.56509484e-01
4.27146293e+00 1.56149798e-01
4.28144289e+00 1.55791748e-01
4.29142285e+00 1.55435322e-01
4.30140281e+00 1.55080509e-01
