# temperature_kelvin sz-expectation_hbar
2.00000000e-02 1.00000000e+00
2.99799599e-02 1.00000000e+00
3.99599198e-02 1.00000000e+00
4.99398798e-02 1.00000000e+00
5.99198397e-02 1.00000000e+00
6.98997996e-02 9.99999991e-01
7.98797595e-02 9.99999903e-01
8.98597194e-02 9.99999368e-01
9.98396794e-02 9.99997179e-01
1.09819639e-01 9.99990403e-01
1.19799599e-01 9.99973379e-01
1.29779559e-01 9.99936882e-01
1.39759519e-01 9.99867707e-01
1.49739479e-01 9.99748772e-01
1.59719439e-01 9.99559676e-01
1.69699399e-01 9.99277583e-01
1.79679359e-01 9.98878278e-01
1.89659319e-01 9.98337232e-01
1.99639279e-01 9.97630596e-01
2.09619238e-01 9.96736036e-01
2.19599198e-01 9.95633386e-01
2.29579158e-01 9.94305116e-01
2.39559118e-01 9.92736629e-01
2.49539078e-01 9.90916397e-01
2.59519038e-01 9.88835976e-01
2.69498998e-01 9.86489920e-01
2.79478958e-01 9.83875619e-01
2.89458918e-01 9.80993085e-01
2.99438878e-01 9.77844704e-01
3.09418838e-01 9.74434968e-01
3.19398798e-01 9.70770208e-01
3.29378758e-01 9.66858317e-01
3.39358717e-01 9.62708495e-01
3.49338677e-01 9.58331006e-01
3.59318637e-01 9.53736946e-01
3.69298597e-01 9.48938041e-01
3.79278557e-01 9.43946461e-01
3.89258517e-01 9.38774651e-01
3.99238477e-01 9.33435191e-01
4.09218437e-01 9.27940667e-01
4.19198397e-01 9.22303565e-01
4.29178357e-01 9.16536181e-01
4.39158317e-01 9.10650543e-01
4.49138277e-01 9.04658355e-01
4.59118236e-01 8.98570939e-01
4.69098196e-01 8.92399206e-01
4.79078156e-01 8.86153621e-01
4.89058116e-01 8.79844187e-01
4.99038076e-01 8.73480427e-01
5.09018036e-01 8.67071384e-01
5.18997996e-01 8.60625611e-01
5.28977956e-01 8.54151183e-01
5.38957916e-01 8.47655695e-01
5.48937876e-01 8.41146278e-01
5.58917836e-01 8.34629607e-01
5.68897796e-01 8.28111916e-01
5.78877756e-01 8.21599012e-01
5.88857715e-01 8.15096294e-01
5.98837675e-01 8.08608768e-01
6.08817635e-01 8.02141063e-01
6.18797595e-01 7.95697453e-01
6.28777555e-01 7.89281871e-01
6.38757515e-01 7.82897926e-01
6.48737475e-01 7.76548924e-01
6.58717435e-01 7.70237884e-01
6.68697395e-01 7.63967551e-01
6.78677355e-01 7.57740416e-01
6.88657315e-01 7.51558730e-01
6.98637275e-01 7.45424521e-01
7.08617234e-01 7.39339602e-01
7.18597194e-01 7.33305592e-01
7.28577154e-01 7.27323926e-01
7.38557114e-01 7.21395865e-01
7.48537074e-01 7.15522514e-01
7.58517034e-01 7.09704825e-01
7.68496994e-01 7.03943613e-01
7.78476954e-01 6.98239567e-01
7.88456914e-01 6.92593254e-01
7.98436874e-01 6.87005131e-01
8.08416834e-01 6.81475556e-01
8.18396794e-01 6.76004790e-01
8.28376754e-01 6.70593007e-01
8.38356713e-01 6.65240303e-01
8.48336673e-01 6.59946700e-01
8.58316633e-01 6.54712151e-01
8.68296593e-01 6.49536549e-01
8.78276553e-01 6.44419729e-01
8.88256513e-01 6.39361475e-01
8.98236473e-01 6.34361522e-01
9.08216433e-01 6.29419565e-01
9.18196393e-01 6.24535257e-01
9.28176353e-01 6.19708218e-01
9.38156313e-01 6.14938034e-01
9.48136273e-01 6.10224264e-01
9.58116232e-01 6.05566440e-01
9.68096192e-01 6.00964072e-01
9.78076152e-01 5.96416648e-01
9.88056112e-01 5.91923640e-01
9.98036072e-01 5.87484502e-01
1.00801603e+00 5.83098675e-01
1.01799599e+00 5.78765589e-01
1.02797595e+00 5.74484660e-01
1.03795591e+00 5.70255300e-01
1.04793587e+00 5.66076911e-01
1.05791583e+00 5.61948890e-01
1.06789579e+00 5.57870627e-01
1.07787575e+00 5.53841513e-01
1.08785571e+00 5.49860932e-01
1.09783567e+00 5.45928269e-01
1.10781563e+00 5.42042909e-01
1.11779559e+00 5.38204235e-01
1.12777555e+00 5.34411632e-01
1.13775551e+00 5.30664487e-01
1.14773547e+00 5.26962189e-01
1.15771543e+00 5.23304130e-01
1.16769539e+00 5.19689705e-01
1.17767535e+00 5.16118313e-01
1.18765531e+00 5.12589357e-01
1.19763527e+00 5.09102244e-01
1.20761523e+00 5.05656389e-01
1.21759519e+00 5.02251208e-01
1.22757515e+00 4.98886125e-01
1.23755511e+00 4.95560569e-01
1.24753507e+00 4.92273975e-01
1.25751503e+00 4.89025786e-01
1.26749499e+00 4.85815447e-01
1.27747495e+00 4.82642414e-01
1.28745491e+00 4.79506147e-01
1.29743487e+00 4.76406114e-01
1.30741483e+00 4.73341788e-01
1.31739479e+00 4.70312650e-01
1.32737475e+00 4.67318189e-01
1.33735471e+00 4.64357898e-01
1.34733467e+00 4.61431280e-01
1.35731463e+00 4.58537843e-01
1.36729459e+00 4.55677103e-01
1.37727455e+00 4.52848581e-01
1.38725451e+00 4.50051808e-01
1.39723447e+00 4.47286320e-01
1.40721443e+00 4.44551659e-01
1.41719439e+00 4.41847377e-01
1.42717435e+00 4.39173029e-01
1.43715431e+00 4.36528180e-01
1.44713427e+00 4.33912400e-01
1.45711423e+00 4.31325266e-01
1.46709419e+00 4.28766361e-01
1.47707415e+00 4.26235275e-01
1.48705411e+00 4.23731606e-01
1.49703407e+00 4.21254955e-01
1.50701403e+00 4.18804933e-01
1.51699399e+00 4.16381155e-01
1.52697395e+00 4.13983242e-01
1.53695391e+00 4.11610822e-01
1.54693387e+00 4.09263529e-01
1.55691383e+00 4.06941004e-01
1.56689379e+00 4.04642890e-01
1.57687375e+00 4.02368841e-01
1.58685371e+00 4.00118512e-01
1.59683367e+00 3.97891566e-01
