# temperature_kelvin sz-expectation_hbar
2.00000000e-02 9.70259903e-01
7.03030303e-02 8.95459064e-01
1.20606061e-01 8.20686902e-01
1.70909091e-01 7.46622025e-01
2.21212121e-01 6.75643026e-01
2.71515152e-01 6.10471477e-01
3.21818182e-01 5.52548220e-01
3.72121212e-01 5.02012489e-01
4.22424242e-01 4.58274659e-01
4.72727273e-01 4.20475979e-01
5.23030303e-01 3.87735336e-01
5.73333333e-01 3.59253958e-01
6.23636364e-01 3.34347007e-01
6.73939394e-01 3.12442752e-01
7.24242424e-01 2.93069597e-01
7.74545455e-01 2.75840177e-01
8.24848485e-01 2.60436234e-01
8.75151515e-01 2.46595566e-01
9.25454545e-01 2.34101239e-01
9.75757576e-01 2.22772879e-01
1.02606061e+00 2.12459699e-01
1.07636364e+00 2.03034953e-01
1.12666667e+00 1.94391513e-01
1.17696970e+00 1.86438345e-01
1.22727273e+00 1.79097686e-01
1.27757576e+00 1.72302775e-01
1.32787879e+00 1.65996017e-01
1.37818182e+00 1.60127502e-01
1.42848485e+00 1.54653782e-01
1.47878788e+00 1.49536880e-01
1.52909091e+00 1.44743469e-01
1.57939394e+00 1.40244193e-01
1.62969697e+00 1.36013098e-01
1.68000000e+00 1.32027160e-01
1.73030303e+00 1.28265892e-01
1.78060606e+00 1.24711001e-01
1.83090909e+00 1.21346109e-01
1.88121212e+00 1.18156513e-01
1.93151515e+00 1.15128973e-01
1.98181818e+00 1.12251540e-01
2.03212121e+00 1.09513403e-01
2.08242424e+00 1.06904757e-01
2.13272727e+00 1.04416690e-01
2.18303030e+00 1.02041083e-01
2.23333333e+00 9.97705255e-02
2.28363636e+00 9.75982417e-02
2.33393939e+00 9.55180216e-02
2.38424242e+00 9.35241651e-02
2.43454545e+00 9.16114307e-02
2.48484848e+00 8.97749905e-02
2.53515152e+00 8.80103903e-02
2.58545455e+00 8.63135145e-02
2.63575758e+00 8.46805547e-02
2.68606061e+00 8.31079813e-02
2.73636364e+00 8.15925191e-02
2.78666667e+00 8.01311244e-02
2.83696970e+00 7.87209652e-02
2.88727273e+00 7.73594034e-02
2.93757576e+00 7.60439780e-02
2.98787879e+00 7.47723910e-02
3.03818182e+00 7.35424940e-02
3.08848485e+00 7.23522763e-02
3.13878788e+00 7.11998539e-02
3.18909091e+00 7.00834601e-02
3.23939394e+00 6.90014361e-02
3.28969697e+00 6.79522233e-02
3.34000000e+00 6.69343554e-02
3.39030303e+00 6.59464522e-02
3.44060606e+00 6.49872131e-02
3.49090909e+00 6.40554114e-02
3.54121212e+00 6.31498893e-02
3.59151515e+00 6.22695532e-02
3.64181818e+00 6.14133691e-02
3.69212121e+00 6.05803587e-02
3.74242424e+00 5.97695956e-02
3.79272727e+00 5.89802024e-02
3.84303030e+00 5.82113468e-02
3.89333333e+00 5.74622391e-02
3.94363636e+00 5.67321297e-02
3.99393939e+00 5.60203063e-02
4.04424242e+00 5.53260916e-02
4.09454545e+00 5.46488414e-02
4.14484848e+00 5.39879425e-02
4.19515152e+00 5.33428107e-02
4.24545455e+00 5.27128894e-02
4.29575758e+00 5.20976478e-02
4.34606061e+00 5.14965795e-02
4.39636364e+00 5.09092010e-02
4.44666667e+00 5.03350508e-02
4.49696970e+00 4.97736874e-02
4.54727273e+00 4.92246891e-02
4.59757576e+00 4.86876523e-02
4.64787879e+00 4.81621910e-02
4.69818182e+00 4.76479353e-02
4.74848485e+00 4.71445310e-02
4.79878788e+00 4.66516388e-02
4.84909091e+00 4.61689331e-02
4.89939394e+00 4.56961018e-02
4.94969697e+00 4.52328454e-02
5.00000000e+00 4.47788763e-02
