# temperature_kelvin sz-expectation_hbar
2.00000000e-02 9.99777729e-01
7.03030303e-02 9.97966926e-01
1.20606061e-01 9.95137829e-01
1.70909091e-01 9.91685833e-01
2.21212121e-01 9.87793343e-01
2.71515152e-01 9.83563592e-01
3.21818182e-01 9.79062060e-01
3.72121212e-01 9.74333465e-01
4.22424242e-01 9.69409973e-01
4.72727273e-01 9.64315625e-01
5.23030303e-01 9.59068915e-01
5.73333333e-01 9.53684397e-01
6.23636364e-01 9.48173715e-01
6.73939394e-01 9.42546304e-01
7.24242424e-01 9.36809875e-01
7.74545455e-01 9.30970756e-01
8.24848485e-01 9.25034154e-01
8.75151515e-01 9.19004355e-01
9.25454545e-01 9.12884893e-01
9.75757576e-01 9.06678711e-01
1.02606061e+00 9.00388307e-01
1.07636364e+00 8.94015875e-01
1.12666667e+00 8.87563451e-01
1.17696970e+00 8.81033039e-01
1.22727273e+00 8.74426731e-01
1.27757576e+00 8.67746809e-01
1.32787879e+00 8.60995832e-01
1.37818182e+00 8.54176695e-01
1.42848485e+00 8.47292671e-01
1.47878788e+00 8.40347433e-01
1.52909091e+00 8.33345059e-01
1.57939394e+00 8.26290010e-01
1.62969697e+00 8.19187109e-01
1.68000000e+00 8.12041499e-01
1.73030303e+00 8.04858595e-01
1.78060606e+00 7.97644036e-01
1.83090909e+00 7.90403627e-01
1.88121212e+00 7.83143284e-01
1.93151515e+00 7.75868980e-01
1.98181818e+00 7.68586694e-01
2.03212121e+00 7.61302363e-01
2.08242424e+00 7.54021834e-01
2.13272727e+00 7.46750829e-01
2.18303030e+00 7.39494911e-01
2.23333333e+00 7.32259449e-01
2.28363636e+00 7.25049598e-01
2.33393939e+00 7.17870281e-01
2.38424242e+00 7.10726166e-01
2.43454545e+00 7.03621663e-01
2.48484848e+00 6.96560911e-01
2.53515152e+00 6.89547778e-01
2.58545455e+00 6.82585856e-01
2.63575758e+00 6.75678463e-01
2.68606061e+00 6.68828649e-01
2.73636364e+00 6.62039198e-01
2.78666667e+00 6.55312640e-01
2.83696970e+00 6.48651252e-01
2.88727273e+00 6.42057074e-01
2.93757576e+00 6.35531915e-01
2.98787879e+00 6.29077364e-01
3.03818182e+00 6.22694802e-01
3.08848485e+00 6.16385413e-01
3.13878788e+00 6.10150195e-01
3.18909091e+00 6.03989970e-01
3.23939394e+00 5.97905394e-01
3.28969697e+00 5.91896974e-01
3.34000000e+00 5.85965069e-01
3.39030303e+00 5.80109909e-01
3.44060606e+00 5.74331598e-01
3.49090909e+00 5.68630129e-01
3.54121212e+00 5.63005388e-01
3.59151515e+00 5.57457166e-01
3.64181818e+00 5.51985166e-01
3.69212121e+00 5.46589011e-01
3.74242424e+00 5.41268250e-01
3.79272727e+00 5.36022366e-01
3.84303030e+00 5.30850782e-01
3.89333333e+00 5.25752869e-01
3.94363636e+00 5.20727947e-01
3.99393939e+00 5.15775294e-01
4.04424242e+00 5.10894153e-01
4.09454545e+00 5.06083728e-01
4.14484848e+00 5.01343199e-01
4.19515152e+00 4.96671717e-01
4.24545455e+00 4.92068413e-01
4.29575758e+00 4.87532399e-01
4.34606061e+00 4.83062773e-01
4.39636364e+00 4.78658619e-01
4.44666667e+00 4.74319012e-01
4.49696970e+00 4.70043018e-01
4.54727273e+00 4.65829701e-01
4.59757576e+00 4.61678118e-01
4.64787879e+00 4.57587327e-01
4.69818182e+00 4.53556386e-01
4.74848485e+00 4.49584353e-01
4.79878788e+00 4.45670292e-01
4.84909091e+00 4.41813268e-01
4.89939394e+00 4.38012355e-01
4.94969697e+00 4.34266629e-01
5.00000000e+00 4.30575178e-01
