# temperature_kelvin sz-expectation_hbar
7.00000000e-02 8.95466566e-01
1.70612245e-01 7.43290306e-01
2.71224490e-01 6.07013433e-01
3.71836735e-01 4.99046542e-01
4.72448980e-01 4.15802197e-01
5.73061224e-01 3.61392230e-01
6.73673469e-01 3.10754280e-01
7.74285714e-01 2.69409424e-01
8.74897959e-01 2.44456554e-01
9.75510204e-01 2.26143165e-01
1.07612245e+00 2.03620444e-01
1.17673469e+00 1.88449764e-01
1.27734694e+00 1.70400518e-01
1.37795918e+00 1.56082435e-01
1.47857143e+00 1.46786105e-01
1.57918367e+00 1.38625617e-01
1.67979592e+00 1.29113801e-01
1.78040816e+00 1.25526572e-01
1.88102041e+00 1.18150185e-01
1.98163265e+00 1.11318641e-01
2.08224490e+00 1.06387210e-01
2.18285714e+00 1.01761249e-01
2.28346939e+00 9.52187874e-02
2.38408163e+00 9.17187634e-02
2.48469388e+00 8.80778201e-02
2.58530612e+00 8.29524413e-02
2.68591837e+00 8.49457395e-02
2.78653061e+00 7.82494865e-02
2.88714286e+00 7.74081631e-02
2.98775510e+00 7.54741554e-02
3.08836735e+00 6.98751734e-02
3.18897959e+00 7.10564423e-02
3.28959184e+00 6.61199528e-02
3.39020408e+00 6.64106164e-02
3.49081633e+00 6.24538724e-02
3.59142857e+00 6.05138869e-02
3.69204082e+00 6.23672889e-02
3.79265306e+00 6.13212402e-02
3.89326531e+00 5.79710194e-02
3.99387755e+00 5.61690355e-02
4.09448980e+00 5.33266137e-02
4.19510204e+00 5.25486179e-02
4.29571429e+00 5.23081268e-02
4.39632653e+00 5.04181863e-02
4.49693878e+00 4.70030358e-02
4.59755102e+00 4.78238371e-02
4.69816327e+00 4.66317516e-02
4.79877551e+00 4.49774520e-02
4.89938776e+00 4.33740721e-02
5.00000000e+00 4.42178450e-02
