# temperature_kelvin sz-expectation_hbar
7.00000000e-02 9.78763234e-01
1.70612245e-01 8.98828056e-01
2.71224490e-01 7.70157277e-01
3.71836735e-01 6.32358421e-01
4.72448980e-01 5.29256803e-01
5.73061224e-01 4.37482406e-01
6.73673469e-01 3.75597189e-01
7.74285714e-01 3.18661918e-01
8.74897959e-01 2.85648471e-01
9.75510204e-01 2.56287791e-01
1.07612245e+00 2.24324162e-01
1.17673469e+00 2.01317848e-01
1.27734694e+00 1.92514866e-01
1.37795918e+00 1.73188631e-01
1.47857143e+00 1.60993241e-01
1.57918367e+00 1.52547461e-01
1.67979592e+00 1.41454532e-01
1.78040816e+00 1.31290562e-01
1.88102041e+00 1.23797718e-01
1.98163265e+00 1.23865890e-01
2.08224490e+00 1.14811339e-01
2.18285714e+00 1.05996093e-01
2.28346939e+00 9.96229343e-02
2.38408163e+00 9.94603609e-02
2.48469388e+00 9.27430973e-02
2.58530612e+00 8.96138087e-02
2.68591837e+00 8.78973226e-02
2.78653061e+00 8.45485734e-02
2.88714286e+00 8.17023663e-02
2.98775510e+00 7.72281249e-02
3.08836735e+00 7.85091532e-02
3.18897959e+00 7.27124137e-02
3.28959184e+00 7.11707011e-02
3.39020408e+00 7.04364461e-02
3.49081633e+00 6.68243903e-02
3.59142857e+00 6.16102399e-02
3.69204082e+00 6.07160595e-02
3.79265306e+00 5.83739010e-02
3.89326531e+00 5.89256409e-02
3.99387755e+00 5.62237380e-02
4.09448980e+00 5.61503285e-02
4.19510204e+00 5.28639446e-02
4.29571429e+00 5.40259683e-02
4.39632653e+00 5.05467564e-02
4.49693878e+00 5.33917382e-02
4.59755102e+00 4.95031231e-02
4.69816327e+00 4.62285875e-02
4.79877551e+00 4.71202414e-02
4.89938776e+00 4.76127061e-02
5.00000000e+00 4.29382864e-02
