# temperature_kelvin sz-expectation_hbar
7.00000000e-02 9.73977415e-01
1.19797980e-01 9.55464956e-01
1.69595960e-01 9.36952497e-01
2.19393939e-01 9.18440038e-01
2.69191919e-01 8.99927583e-01
3.18989899e-01 8.81415214e-01
3.68787879e-01 8.62903584e-01
4.18585859e-01 8.44395439e-01
4.68383838e-01 8.25898284e-01
5.18181818e-01 8.07427234e-01
5.67979798e-01 7.89006780e-01
6.17777778e-01 7.70670758e-01
6.67575758e-01 7.52460639e-01
7.17373737e-01 7.34422784e-01
7.67171717e-01 7.16605365e-01
8.16969697e-01 6.99055535e-01
8.66767677e-01 6.81817152e-01
9.16565657e-01 6.64929186e-01
9.66363636e-01 6.48424774e-01
1.01616162e+00 6.32330828e-01
1.06595960e+00 6.16668062e-01
1.11575758e+00 6.01451324e-01
1.16555556e+00 5.86690098e-01
1.21535354e+00 5.72389123e-01
1.26515152e+00 5.58549037e-01
1.31494949e+00 5.45167013e-01
1.36474747e+00 5.32237368e-01
1.41454545e+00 5.19752105e-01
1.46434343e+00 5.07701408e-01
1.51414141e+00 4.96074063e-01
1.56393939e+00 4.84857827e-01
1.61373737e+00 4.74039733e-01
1.66353535e+00 4.63606352e-01
1.71333333e+00 4.53544001e-01
1.76313131e+00 4.43838919e-01
1.81292929e+00 4.34477401e-01
1.86272727e+00 4.25445915e-01
1.91252525e+00 4.16731179e-01
1.96232323e+00 4.08320235e-01
2.01212121e+00 4.00200488e-01
2.06191919e+00 3.92359749e-01
2.11171717e+00 3.84786253e-01
2.16151515e+00 3.77468674e-01
2.21131313e+00 3.70396134e-01
2.26111111e+00 3.63558201e-01
2.31090909e+00 3.56944888e-01
2.36070707e+00 3.50546642e-01
2.41050505e+00 3.44354340e-01
2.46030303e+00 3.38359271e-01
2.51010101e+00 3.32553128e-01
2.55989899e+00 3.26927988e-01
2.60969697e+00 3.21476304e-01
2.65949495e+00 3.16190882e-01
2.70929293e+00 3.11064874e-01
2.75909091e+00 3.06091753e-01
2.80888889e+00 3.01265308e-01
2.85868687e+00 2.96579623e-01
2.90848485e+00 2.92029062e-01
2.95828283e+00 2.87608261e-01
3.00808081e+00 2.83312107e-01
3.05787879e+00 2.79135733e-01
3.10767677e+00 2.75074499e-01
3.15747475e+00 2.71123984e-01
3.20727273e+00 2.67279974e-01
3.25707071e+00 2.63538451e-01
3.30686869e+00 2.59895582e-01
3.35666667e+00 2.56347712e-01
3.40646465e+00 2.52891353e-01
3.45626263e+00 2.49523175e-01
3.50606061e+00 2.46239999e-01
3.55585859e+00 2.43038788e-01
3.60565657e+00 2.39916641e-01
3.65545455e+00 2.36870786e-01
3.70525253e+00 2.33898570e-01
3.75505051e+00 2.30997459e-01
3.80484848e+00 2.28165028e-01
3.85464646e+00 2.25398954e-01
3.90444444e+00 2.22697016e-01
3.95424242e+00 2.20057085e-01
4.00404040e+00 2.17477123e-01
4.05383838e+00 2.14955176e-01
4.10363636e+00 2.12489371e-01
4.15343434e+00 2.10077911e-01
4.20323232e+00 2.07719074e-01
4.25303030e+00 2.05411206e-01
4.30282828e+00 2.03152721e-01
4.35262626e+00 2.00942093e-01
4.40242424e+00 1.98777859e-01
4.45222222e+00 1.96658613e-01
4.50202020e+00 1.94583002e-01
4.55181818e+00 1.92549727e-01
4.60161616e+00 1.90557536e-01
4.65141414e+00 1.88605229e-01
4.70121212e+00 1.86691646e-01
4.75101010e+00 1.84815674e-01
4.80080808e+00 1.82976239e-01
4.85060606e+00 1.81172308e-01
4.90040404e+00 1.79402885e-01
4.95020202e+00 1.77667010e-01
5.00000000e+00 1.75963757e-01
