# temperature_kelvin sz-expectation_hbar
7.00000000e-02 1.56135508e-01
1.19797980e-01 2.67210263e-01
1.69595960e-01 3.78285016e-01
2.19393939e-01 4.89340505e-01
2.69191919e-01 5.99087657e-01
3.18989899e-01 6.99173127e-01
3.68787879e-01 7.78103851e-01
4.18585859e-01 8.33122162e-01
4.68383838e-01 8.68381397e-01
5.18181818e-01 8.89230696e-01
5.67979798e-01 8.99953809e-01
6.17777778e-01 9.03563275e-01
6.67575758e-01 9.02110095e-01
7.17373737e-01 8.96997066e-01
7.67171717e-01 8.89202587e-01
8.16969697e-01 8.79426311e-01
8.66767677e-01 8.68181591e-01
9.16565657e-01 8.55854198e-01
9.66363636e-01 8.42740103e-01
1.01616162e+00 8.29070261e-01
1.06595960e+00 8.15027262e-01
1.11575758e+00 8.00756801e-01
1.16555556e+00 7.86375820e-01
1.21535354e+00 7.71978440e-01
1.26515152e+00 7.57640405e-01
1.31494949e+00 7.43422500e-01
1.36474747e+00 7.29373228e-01
1.41454545e+00 7.15530961e-01
1.46434343e+00 7.01925672e-01
1.51414141e+00 6.88580369e-01
1.56393939e+00 6.75512273e-01
1.61373737e+00 6.62733805e-01
1.66353535e+00 6.50253407e-01
1.71333333e+00 6.38076239e-01
1.76313131e+00 6.26204753e-01
1.81292929e+00 6.14639186e-01
1.86272727e+00 6.03377971e-01
1.91252525e+00 5.92418082e-01
1.96232323e+00 5.81755324e-01
2.01212121e+00 5.71384578e-01
2.06191919e+00 5.61300006e-01
2.11171717e+00 5.51495221e-01
2.16151515e+00 5.41963429e-01
2.21131313e+00 5.32697550e-01
2.26111111e+00 5.23690313e-01
2.31090909e+00 5.14934338e-01
2.36070707e+00 5.06422208e-01
2.41050505e+00 4.98146513e-01
2.46030303e+00 4.90099904e-01
2.51010101e+00 4.82275125e-01
2.55989899e+00 4.74665039e-01
2.60969697e+00 4.67262653e-01
2.65949495e+00 4.60061134e-01
2.70929293e+00 4.53053823e-01
2.75909091e+00 4.46234241e-01
2.80888889e+00 4.39596099e-01
2.85868687e+00 4.33133300e-01
2.90848485e+00 4.26839941e-01
2.95828283e+00 4.20710315e-01
3.00808081e+00 4.14738904e-01
3.05787879e+00 4.08920385e-01
3.10767677e+00 4.03249621e-01
3.15747475e+00 3.97721659e-01
3.20727273e+00 3.92331728e-01
3.25707071e+00 3.87075230e-01
3.30686869e+00 3.81947738e-01
3.35666667e+00 3.76944990e-01
3.40646465e+00 3.72062883e-01
3.45626263e+00 3.67297472e-01
3.50606061e+00 3.62644956e-01
3.55585859e+00 3.58101682e-01
3.60565657e+00 3.53664134e-01
3.65545455e+00 3.49328929e-01
3.70525253e+00 3.45092812e-01
3.75505051e+00 3.40952653e-01
3.80484848e+00 3.36905439e-01
3.85464646e+00 3.32948271e-01
3.90444444e+00 3.29078359e-01
3.95424242e+00 3.25293019e-01
4.00404040e+00 3.21589665e-01
4.05383838e+00 3.17965810e-01
4.10363636e+00 3.14419058e-01
4.15343434e+00 3.10947102e-01
4.20323232e+00 3.07547720e-01
4.25303030e+00 3.04218772e-01
4.30282828e+00 3.00958196e-01
4.35262626e+00 2.97764003e-01
4.40242424e+00 2.94634280e-01
4.45222222e+00 2.91567178e-01
4.50202020e+00 2.88560918e-01
4.55181818e+00 2.85613783e-01
4.60161616e+00 2.82724115e-01
4.65141414e+00 2.79890317e-01
4.70121212e+00 2.77110846e-01
4.75101010e+00 2.74384214e-01
4.80080808e+00 2.71708983e-01
4.85060606e+00 2.69083766e-01
4.90040404e+00 2.66507222e-01
4.95020202e+00 2.63978056e-01
5.00000000e+00 2.61495017e-01
