# temperature_kelvin sz-expectation_hbar
7.00000000e-02 -7.77010978e-01
1.19797980e-01 -6.99208998e-01
1.69595960e-01 -6.07173415e-01
2.19393939e-01 -4.97110422e-01
2.69191919e-01 -3.55853396e-01
3.18989899e-01 -5.70758008e-02
3.68787879e-01 3.88036104e-01
4.18585859e-01 6.54646669e-01
4.68383838e-01 7.75637354e-01
5.18181818e-01 8.31728077e-01
5.67979798e-01 8.58259882e-01
6.17777778e-01 8.69692190e-01
6.67575758e-01 8.72546584e-01
7.17373737e-01 8.70105475e-01
7.67171717e-01 8.64188379e-01
8.16969697e-01 8.55889249e-01
8.66767677e-01 8.45911885e-01
9.16565657e-01 8.34735192e-01
9.66363636e-01 8.22700319e-01
1.01616162e+00 8.10059353e-01
1.06595960e+00 7.97003963e-01
1.11575758e+00 7.83683032e-01
1.16555556e+00 7.70214003e-01
1.21535354e+00 7.56690465e-01
1.26515152e+00 7.43187439e-01
1.31494949e+00 7.29765189e-01
1.36474747e+00 7.16472064e-01
1.41454545e+00 7.03346671e-01
1.46434343e+00 6.90419597e-01
1.51414141e+00 6.77714772e-01
1.56393939e+00 6.65250596e-01
1.61373737e+00 6.53040857e-01
1.66353535e+00 6.41095500e-01
1.71333333e+00 6.29421268e-01
1.76313131e+00 6.18022245e-01
1.81292929e+00 6.06900309e-01
1.86272727e+00 5.96055521e-01
1.91252525e+00 5.85486448e-01
1.96232323e+00 5.75190444e-01
2.01212121e+00 5.65163876e-01
2.06191919e+00 5.55402330e-01
2.11171717e+00 5.45900771e-01
2.16151515e+00 5.36653686e-01
2.21131313e+00 5.27655204e-01
2.26111111e+00 5.18899191e-01
2.31090909e+00 5.10379336e-01
2.36070707e+00 5.02089217e-01
2.41050505e+00 4.94022363e-01
2.46030303e+00 4.86172296e-01
2.51010101e+00 4.78532572e-01
2.55989899e+00 4.71096814e-01
2.60969697e+00 4.63858734e-01
2.65949495e+00 4.56812158e-01
2.70929293e+00 4.49951035e-01
2.75909091e+00 4.43269458e-01
2.80888889e+00 4.36761665e-01
2.85868687e+00 4.30422052e-01
2.90848485e+00 4.24245173e-01
2.95828283e+00 4.18225745e-01
3.00808081e+00 4.12358648e-01
3.05787879e+00 4.06638925e-01
3.10767677e+00 4.01061782e-01
3.15747475e+00 3.95622587e-01
3.20727273e+00 3.90316863e-01
3.25707071e+00 3.85140289e-01
3.30686869e+00 3.80088696e-01
3.35666667e+00 3.75158064e-01
3.40646465e+00 3.70344512e-01
3.45626263e+00 3.65644304e-01
3.50606061e+00 3.61053836e-01
3.55585859e+00 3.56569635e-01
3.60565657e+00 3.52188356e-01
3.65545455e+00 3.47906775e-01
3.70525253e+00 3.43721787e-01
3.75505051e+00 3.39630400e-01
3.80484848e+00 3.35629731e-01
3.85464646e+00 3.31717004e-01
3.90444444e+00 3.27889542e-01
3.95424242e+00 3.24144769e-01
4.00404040e+00 3.20480201e-01
4.05383838e+00 3.16893443e-01
4.10363636e+00 3.13382189e-01
4.15343434e+00 3.09944216e-01
4.20323232e+00 3.06577378e-01
4.25303030e+00 3.03279610e-01
4.30282828e+00 3.00048918e-01
4.35262626e+00 2.96883381e-01
4.40242424e+00 2.93781143e-01
4.45222222e+00 2.90740417e-01
4.50202020e+00 2.87759476e-01
4.55181818e+00 2.84836654e-01
4.60161616e+00 2.81970344e-01
4.65141414e+00 2.79158992e-01
4.70121212e+00 2.76401099e-01
4.75101010e+00 2.73695219e-01
4.80080808e+00 2.71039951e-01
4.85060606e+00 2.68433946e-01
4.90040404e+00 2.65875896e-01
4.95020202e+00 2.63364539e-01
5.00000000e+00 2.60898655e-01
