# temperature_kelvin sz-expectation_hbar
7.00000000e-02 9.99999998e-01
1.19797980e-01 9.99993346e-01
1.69595960e-01 9.99820137e-01
2.19393939e-01 9.98909837e-01
2.69191919e-01 9.96595794e-01
3.18989899e-01 9.92513657e-01
3.68787879e-01 9.86617125e-01
4.18585859e-01 9.79042619e-01
4.68383838e-01 9.69997191e-01
5.18181818e-01 9.59697635e-01
5.67979798e-01 9.48344821e-01
6.17777778e-01 9.36116342e-01
6.67575758e-01 9.23167094e-01
7.17373737e-01 9.09632472e-01
7.67171717e-01 8.95631798e-01
8.16969697e-01 8.81271125e-01
8.66767677e-01 8.66645259e-01
9.16565657e-01 8.51839136e-01
9.66363636e-01 8.36928728e-01
1.01616162e+00 8.21981686e-01
1.06595960e+00 8.07057841e-01
1.11575758e+00 7.92209654e-01
1.16555556e+00 7.77482660e-01
1.21535354e+00 7.62915938e-01
1.26515152e+00 7.48542600e-01
1.31494949e+00 7.34390289e-01
1.36474747e+00 7.20481697e-01
1.41454545e+00 7.06835064e-01
1.46434343e+00 6.93464670e-01
1.51414141e+00 6.80381302e-01
1.56393939e+00 6.67592689e-01
1.61373737e+00 6.55103910e-01
1.66353535e+00 6.42917757e-01
1.71333333e+00 6.31035075e-01
1.76313131e+00 6.19455059e-01
1.81292929e+00 6.08175518e-01
1.86272727e+00 5.97193111e-01
1.91252525e+00 5.86503553e-01
1.96232323e+00 5.76101794e-01
2.01212121e+00 5.65982175e-01
2.06191919e+00 5.56138562e-01
2.11171717e+00 5.46564456e-01
2.16151515e+00 5.37253102e-01
2.21131313e+00 5.28197560e-01
2.26111111e+00 5.19390784e-01
2.31090909e+00 5.10825678e-01
2.36070707e+00 5.02495145e-01
2.41050505e+00 4.94392126e-01
2.46030303e+00 4.86509640e-01
2.51010101e+00 4.78840804e-01
2.55989899e+00 4.71378857e-01
2.60969697e+00 4.64117180e-01
2.65949495e+00 4.57049306e-01
2.70929293e+00 4.50168933e-01
2.75909091e+00 4.43469928e-01
2.80888889e+00 4.36946335e-01
2.85868687e+00 4.30592376e-01
2.90848485e+00 4.24402453e-01
2.95828283e+00 4.18371148e-01
3.00808081e+00 4.12493223e-01
3.05787879e+00 4.06763617e-01
3.10767677e+00 4.01177440e-01
3.15747475e+00 3.95729977e-01
3.20727273e+00 3.90416678e-01
3.25707071e+00 3.85233155e-01
3.30686869e+00 3.80175181e-01
3.35666667e+00 3.75238682e-01
3.40646465e+00 3.70419730e-01
3.45626263e+00 3.65714547e-01
3.50606061e+00 3.61119490e-01
3.55585859e+00 3.56631053e-01
3.60565657e+00 3.52245858e-01
3.65545455e+00 3.47960656e-01
3.70525253e+00 3.43772314e-01
3.75505051e+00 3.39677819e-01
3.80484848e+00 3.35674267e-01
3.85464646e+00 3.31758863e-01
3.90444444e+00 3.27928914e-01
3.95424242e+00 3.24181828e-01
4.00404040e+00 3.20515107e-01
4.05383838e+00 3.16926343e-01
4.10363636e+00 3.13413220e-01
4.15343434e+00 3.09973501e-01
4.20323232e+00 3.06605035e-01
4.25303030e+00 3.03305745e-01
4.30282828e+00 3.00073630e-01
4.35262626e+00 2.96906761e-01
4.40242424e+00 2.93803277e-01
4.45222222e+00 2.90761382e-01
4.50202020e+00 2.87779345e-01
4.55181818e+00 2.84855495e-01
4.60161616e+00 2.81988220e-01
4.65141414e+00 2.79175961e-01
4.70121212e+00 2.76417216e-01
4.75101010e+00 2.73710534e-01
4.80080808e+00 2.71054512e-01
4.85060606e+00 2.68447796e-01
4.90040404e+00 2.65889076e-01
4.95020202e+00 2.63377088e-01
5.00000000e+00 2.60910609e-01
