# temperature_kelvin sz-expectation_hbar
7.00000000e-02 9.73998408e-01
1.70612245e-01 9.36409287e-01
2.71224490e-01 8.97801704e-01
3.71836735e-01 8.61293298e-01
4.72448980e-01 8.25886992e-01
5.73061224e-01 7.88776308e-01
6.73673469e-01 7.53265838e-01
7.74285714e-01 7.10834365e-01
8.74897959e-01 6.77231397e-01
9.75510204e-01 6.42285912e-01
1.07612245e+00 6.14478308e-01
1.17673469e+00 5.79409400e-01
1.27734694e+00 5.52004926e-01
1.37795918e+00 5.29543645e-01
1.47857143e+00 5.05070749e-01
1.57918367e+00 4.85035814e-01
1.67979592e+00 4.56371298e-01
1.78040816e+00 4.40349165e-01
1.88102041e+00 4.24803925e-01
1.98163265e+00 4.05848203e-01
2.08224490e+00 3.89931623e-01
2.18285714e+00 3.74236218e-01
2.28346939e+00 3.54281686e-01
2.38408163e+00 3.45895689e-01
2.48469388e+00 3.32903395e-01
2.58530612e+00 3.24796312e-01
2.68591837e+00 3.13875218e-01
2.78653061e+00 2.97899113e-01
2.88714286e+00 2.92639072e-01
2.98775510e+00 2.84292186e-01
3.08836735e+00 2.73245355e-01
3.18897959e+00 2.63781764e-01
3.28959184e+00 2.58748243e-01
3.39020408e+00 2.54513758e-01
3.49081633e+00 2.44596340e-01
3.59142857e+00 2.40072539e-01
3.69204082e+00 2.32340447e-01
3.79265306e+00 2.27590968e-01
3.89326531e+00 2.22147961e-01
3.99387755e+00 2.17217535e-01
4.09448980e+00 2.13597684e-01
4.19510204e+00 2.11568672e-01
4.29571429e+00 2.08168785e-01
4.39632653e+00 1.99317943e-01
4.49693878e+00 1.97543874e-01
4.59755102e+00 1.88723869e-01
4.69816327e+00 1.83333997e-01
4.79877551e+00 1.83267537e-01
4.89938776e+00 1.79653250e-01
5.00000000e+00 1.77531637e-01
