# temperature_kelvin sz-expectation_hbar
7.00000000e-02 1.56345679e-01
1.70612245e-01 3.79748159e-01
2.71224490e-01 6.04223470e-01
3.71836735e-01 7.80874441e-01
4.72448980e-01 8.67373262e-01
5.73061224e-01 8.95734130e-01
6.73673469e-01 9.03217596e-01
7.74285714e-01 8.88330670e-01
8.74897959e-01 8.68295859e-01
9.75510204e-01 8.39418670e-01
1.07612245e+00 8.07703131e-01
1.17673469e+00 7.80609807e-01
1.27734694e+00 7.54208367e-01
1.37795918e+00 7.24222287e-01
1.47857143e+00 6.96469510e-01
1.57918367e+00 6.72892378e-01
1.67979592e+00 6.36677610e-01
1.78040816e+00 6.22992318e-01
1.88102041e+00 6.09716266e-01
1.98163265e+00 5.80222591e-01
2.08224490e+00 5.60910414e-01
2.18285714e+00 5.43015791e-01
2.28346939e+00 5.22108392e-01
2.38408163e+00 5.08499007e-01
2.48469388e+00 4.86124768e-01
2.58530612e+00 4.64662990e-01
2.68591837e+00 4.49652358e-01
2.78653061e+00 4.32467235e-01
2.88714286e+00 4.31511943e-01
2.98775510e+00 4.19705568e-01
3.08836735e+00 4.13271821e-01
3.18897959e+00 3.96724245e-01
3.28959184e+00 3.85035111e-01
3.39020408e+00 3.72737538e-01
3.49081633e+00 3.63288871e-01
3.59142857e+00 3.46593365e-01
3.69204082e+00 3.52455836e-01
3.79265306e+00 3.30554337e-01
3.89326531e+00 3.31010456e-01
3.99387755e+00 3.24720843e-01
4.09448980e+00 3.07234229e-01
4.19510204e+00 3.00320084e-01
4.29571429e+00 2.97158691e-01
4.39632653e+00 2.94561331e-01
4.49693878e+00 2.82610020e-01
4.59755102e+00 2.82604902e-01
4.69816327e+00 2.79716583e-01
4.79877551e+00 2.75639777e-01
4.89938776e+00 2.67652813e-01
5.00000000e+00 2.63309794e-01
