# temperature_kelvin sz-expectation_hbar
7.00000000e-02 -7.76969095e-01
1.70612245e-01 -6.05038090e-01
2.71224490e-01 -3.50272208e-01
3.71836735e-01 4.32281867e-01
4.72448980e-01 7.91975324e-01
5.73061224e-01 8.71193807e-01
6.73673469e-01 8.80378065e-01
7.74285714e-01 8.66670839e-01
8.74897959e-01 8.42384496e-01
9.75510204e-01 8.20627606e-01
1.07612245e+00 8.00355445e-01
1.17673469e+00 7.65009265e-01
1.27734694e+00 7.39914445e-01
1.37795918e+00 7.10449220e-01
1.47857143e+00 6.80332982e-01
1.57918367e+00 6.57241236e-01
1.67979592e+00 6.35212402e-01
1.78040816e+00 6.07732275e-01
1.88102041e+00 5.85706886e-01
1.98163265e+00 5.68382026e-01
2.08224490e+00 5.42170116e-01
2.18285714e+00 5.29906848e-01
2.28346939e+00 5.18000696e-01
2.38408163e+00 5.01665011e-01
2.48469388e+00 4.83885151e-01
2.58530612e+00 4.63442207e-01
2.68591837e+00 4.50552961e-01
2.78653061e+00 4.47470284e-01
2.88714286e+00 4.17489397e-01
2.98775510e+00 4.12879688e-01
3.08836735e+00 3.96549756e-01
3.18897959e+00 3.85393035e-01
3.28959184e+00 3.79030821e-01
3.39020408e+00 3.72539257e-01
3.49081633e+00 3.60525857e-01
3.59142857e+00 3.50395124e-01
3.69204082e+00 3.46202911e-01
3.79265306e+00 3.31482351e-01
3.89326531e+00 3.23464118e-01
3.99387755e+00 3.23549189e-01
4.09448980e+00 3.05648690e-01
4.19510204e+00 3.06641949e-01
4.29571429e+00 2.94200761e-01
4.39632653e+00 2.95007364e-01
4.49693878e+00 2.87044933e-01
4.59755102e+00 2.77417598e-01
4.69816327e+00 2.83136436e-01
4.79877551e+00 2.70640474e-01
4.89938776e+00 2.59421093e-01
5.00000000e+00 2.57694981e-01
