# temperature_kelvin sz-expectation_hbar
7.00000000e-02 1.33333333e+00
1.70612245e-01 1.33308191e+00
2.71224490e-01 1.32861999e+00
3.71836735e-01 1.31493290e+00
4.72448980e-01 1.29226742e+00
5.73061224e-01 1.26284581e+00
6.73673469e-01 1.22871828e+00
7.74285714e-01 1.19146665e+00
8.74897959e-01 1.15231750e+00
9.75510204e-01 1.11224564e+00
1.07612245e+00 1.07202650e+00
1.17673469e+00 1.03226315e+00
1.27734694e+00 9.93407121e-01
1.37795918e+00 9.55779970e-01
1.47857143e+00 9.19595846e-01
1.57918367e+00 8.84983438e-01
1.67979592e+00 8.52005784e-01
1.78040816e+00 8.20677143e-01
1.88102041e+00 7.90976743e-01
1.98163265e+00 7.62859597e-01
2.08224490e+00 7.36264786e-01
2.18285714e+00 7.11121654e-01
2.28346939e+00 6.87354343e-01
2.38408163e+00 6.64885043e-01
2.48469388e+00 6.43636271e-01
2.58530612e+00 6.23532409e-01
2.68591837e+00 6.04500720e-01
2.78653061e+00 5.86471961e-01
2.88714286e+00 5.69380723e-01
2.98775510e+00 5.53165572e-01
3.08836735e+00 5.37769050e-01
3.18897959e+00 5.23137590e-01
3.28959184e+00 5.09221364e-01
3.39020408e+00 4.95974100e-01
3.49081633e+00 4.83352876e-01
3.59142857e+00 4.71317904e-01
3.69204082e+00 4.59832318e-01
3.79265306e+00 4.48861964e-01
3.89326531e+00 4.38375193e-01
3.99387755e+00 4.28342678e-01
4.09448980e+00 4.18737226e-01
4.19510204e+00 4.09533613e-01
4.29571429e+00 4.00708429e-01
4.39632653e+00 3.92239934e-01
4.49693878e+00 3.84107922e-01
4.59755102e+00 3.76293600e-01
4.69816327e+00 3.68779478e-01
4.79877551e+00 3.61549263e-01
4.89938776e+00 3.54587765e-01
5.00000000e+00 3.47880812e-01
