# temperature_kelvin sz-expectation_hbar
7.00000000e-02 9.99999998e-01
1.70612245e-01 9.99811433e-01
2.71224490e-01 9.96464995e-01
3.71836735e-01 9.86199674e-01
4.72448980e-01 9.69200567e-01
5.73061224e-01 9.47134356e-01
6.73673469e-01 9.21538706e-01
7.74285714e-01 8.93599989e-01
8.74897959e-01 8.64238128e-01
9.75510204e-01 8.34184227e-01
1.07612245e+00 8.04019872e-01
1.17673469e+00 7.74197361e-01
1.27734694e+00 7.45055341e-01
1.37795918e+00 7.16834978e-01
1.47857143e+00 6.89696885e-01
1.57918367e+00 6.63737579e-01
1.67979592e+00 6.39004338e-01
1.78040816e+00 6.15507857e-01
1.88102041e+00 5.93232557e-01
1.98163265e+00 5.72144698e-01
2.08224490e+00 5.52198590e-01
2.18285714e+00 5.33341240e-01
2.28346939e+00 5.15515757e-01
2.38408163e+00 4.98663782e-01
2.48469388e+00 4.82727203e-01
2.58530612e+00 4.67649307e-01
2.68591837e+00 4.53375540e-01
2.78653061e+00 4.39853971e-01
2.88714286e+00 4.27035542e-01
2.98775510e+00 4.14874179e-01
3.08836735e+00 4.03326788e-01
3.18897959e+00 3.92353193e-01
3.28959184e+00 3.81916023e-01
3.39020408e+00 3.71980575e-01
3.49081633e+00 3.62514657e-01
3.59142857e+00 3.53488428e-01
3.69204082e+00 3.44874239e-01
3.79265306e+00 3.36646473e-01
3.89326531e+00 3.28781395e-01
3.99387755e+00 3.21257009e-01
4.09448980e+00 3.14052919e-01
4.19510204e+00 3.07150209e-01
4.29571429e+00 3.00531322e-01
4.39632653e+00 2.94179951e-01
4.49693878e+00 2.88080941e-01
4.59755102e+00 2.82220200e-01
4.69816327e+00 2.76584609e-01
4.79877551e+00 2.71161947e-01
4.89938776e+00 2.65940824e-01
5.00000000e+00 2.60910609e-01
