# temperature_kelvin sz-expectation_hbar
2.00000000e-02 9.92564976e-01
2.99799599e-02 9.88854914e-01
3.99599198e-02 9.85144852e-01
4.99398798e-02 9.81434789e-01
5.99198397e-02 9.77724727e-01
6.98997996e-02 9.74014665e-01
7.98797595e-02 9.70304603e-01
8.98597194e-02 9.66594541e-01
9.98396794e-02 9.62884479e-01
1.09819639e-01 9.59174416e-01
1.19799599e-01 9.55464354e-01
1.29779559e-01 9.51754292e-01
1.39759519e-01 9.48044230e-01
1.49739479e-01 9.44334168e-01
1.59719439e-01 9.40624106e-01
1.69699399e-01 9.36914043e-01
1.79679359e-01 9.33203981e-01
1.89659319e-01 9.29493919e-01
1.99639279e-01 9.25783857e-01
2.09619238e-01 9.22073795e-01
2.19599198e-01 9.18363733e-01
2.29579158e-01 9.14653671e-01
2.39559118e-01 9.10943609e-01
2.49539078e-01 9.07233547e-01
2.59519038e-01 9.03523486e-01
2.69498998e-01 8.99813426e-01
2.79478958e-01 8.96103368e-01
2.89458918e-01 8.92393314e-01
2.99438878e-01 8.88683267e-01
3.09418838e-01 8.84973229e-01
3.19398798e-01 8.81263208e-01
3.29378758e-01 8.77553210e-01
3.39358717e-01 8.73843247e-01
3.49338677e-01 8.70133334e-01
3.59318637e-01 8.66423491e-01
3.69298597e-01 8.62713743e-01
3.79278557e-01 8.59004121e-01
3.89258517e-01 8.55294665e-01
3.99238477e-01 8.51585424e-01
4.09218437e-01 8.47876455e-01
4.19198397e-01 8.44167827e-01
4.29178357e-01 8.40459621e-01
4.39158317e-01 8.36751930e-01
4.49138277e-01 8.33044860e-01
4.59118236e-01 8.29338533e-01
4.69098196e-01 8.25633083e-01
4.79078156e-01 8.21928663e-01
4.89058116e-01 8.18225438e-01
4.99038076e-01 8.14523590e-01
5.09018036e-01 8.10823319e-01
5.18997996e-01 8.07124839e-01
5.28977956e-01 8.03428379e-01
5.38957916e-01 7.99734186e-01
5.48937876e-01 7.96042520e-01
5.58917836e-01 7.92353656e-01
5.68897796e-01 7.88667885e-01
5.78877756e-01 7.84985508e-01
5.88857715e-01 7.81306840e-01
5.98837675e-01 7.77632209e-01
6.08817635e-01 7.73961952e-01
6.18797595e-01 7.70296416e-01
6.28777555e-01 7.66635958e-01
6.38757515e-01 7.62980942e-01
6.48737475e-01 7.59331739e-01
6.58717435e-01 7.55688726e-01
6.68697395e-01 7.52052283e-01
6.78677355e-01 7.48422797e-01
6.88657315e-01 7.44800656e-01
6.98637275e-01 7.41186249e-01
7.08617234e-01 7.37579967e-01
7.18597194e-01 7.33982200e-01
7.28577154e-01 7.30393338e-01
7.38557114e-01 7.26813768e-01
7.48537074e-01 7.23243875e-01
7.58517034e-01 7.19684041e-01
7.68496994e-01 7.16134641e-01
7.78476954e-01 7.12596049e-01
7.88456914e-01 7.09068631e-01
7.98436874e-01 7.05552747e-01
8.08416834e-01 7.02048751e-01
8.18396794e-01 6.98556989e-01
8.28376754e-01 6.95077799e-01
8.38356713e-01 6.91611514e-01
8.48336673e-01 6.88158453e-01
8.58316633e-01 6.84718931e-01
8.68296593e-01 6.81293253e-01
8.78276553e-01 6.77881711e-01
8.88256513e-01 6.74484593e-01
8.98236473e-01 6.71102172e-01
9.08216433e-01 6.67734715e-01
9.18196393e-01 6.64382478e-01
9.28176353e-01 6.61045705e-01
9.38156313e-01 6.57724631e-01
9.48136273e-01 6.54419483e-01
9.58116232e-01 6.51130474e-01
9.68096192e-01 6.47857809e-01
9.78076152e-01 6.44601684e-01
9.88056112e-01 6.41362281e-01
9.98036072e-01 6.38139777e-01
1.00801603e+00 6.34934335e-01
1.01799599e+00 6.31746111e-01
1.02797595e+00 6.28575250e-01
1.03795591e+00 6.25421887e-01
1.04793587e+00 6.22286149e-01
1.05791583e+00 6.19168154e-01
1.06789579e+00 6.16068009e-01
1.07787575e+00 6.12985814e-01
1.08785571e+00 6.09921659e-01
1.09783567e+00 6.06875628e-01
1.10781563e+00 6.03847794e-01
1.11779559e+00 6.00838224e-01
1.12777555e+00 5.97846975e-01
1.13775551e+00 5.94874099e-01
1.14773547e+00 5.91919637e-01
1.15771543e+00 5.88983628e-01
1.16769539e+00 5.86066099e-01
1.17767535e+00 5.83167073e-01
1.18765531e+00 5.80286565e-01
1.19763527e+00 5.77424585e-01
1.20761523e+00 5.74581136e-01
1.21759519e+00 5.71756215e-01
1.22757515e+00 5.68949814e-01
1.23755511e+00 5.66161918e-01
1.24753507e+00 5.63392509e-01
1.25751503e+00 5.60641562e-01
1.26749499e+00 5.57909047e-01
1.27747495e+00 5.55194930e-01
1.28745491e+00 5.52499173e-01
1.29743487e+00 5.49821733e-01
1.30741483e+00 5.47162561e-01
1.31739479e+00 5.44521607e-01
1.32737475e+00 5.41898817e-01
1.33735471e+00 5.39294130e-01
1.34733467e+00 5.36707484e-01
1.35731463e+00 5.34138815e-01
1.36729459e+00 5.31588053e-01
1.37727455e+00 5.29055126e-01
1.38725451e+00 5.26539959e-01
1.39723447e+00 5.24042476e-01
1.40721443e+00 5.21562596e-01
1.41719439e+00 5.19100236e-01
1.42717435e+00 5.16655311e-01
1.43715431e+00 5.14227735e-01
1.44713427e+00 5.11817418e-01
1.45711423e+00 5.09424269e-01
1.46709419e+00 5.07048195e-01
1.47707415e+00 5.04689102e-01
1.48705411e+00 5.02346893e-01
1.49703407e+00 5.00021470e-01
1.50701403e+00 4.97712734e-01
1.51699399e+00 4.95420585e-01
1.52697395e+00 4.93144920e-01
1.53695391e+00 4.90885637e-01
1.54693387e+00 4.88642633e-01
1.55691383e+00 4.86415801e-01
1.56689379e+00 4.84205036e-01
1.57687375e+00 4.82010233e-01
1.58685371e+00 4.79831282e-01
1.59683367e+00 4.77668078e-01
1.60681363e+00 4.75520510e-01
1.61679359e+00 4.73388471e-01
1.62677355e+00 4.71271850e-01
