# temperature_kelvin sz-expectation_hbar
2.00000000e-02 nan
2.99799599e-02 nan
3.99599198e-02 nan
4.99398798e-02 nan
5.99198397e-02 nan
6.98997996e-02 nan
7.98797595e-02 nan
8.98597194e-02 nan
9.98396794e-02 nan
1.09819639e-01 nan
1.19799599e-01 nan
1.29779559e-01 nan
1.39759519e-01 nan
1.49739479e-01 nan
1.59719439e-01 nan
1.69699399e-01 nan
1.79679359e-01 nan
1.89659319e-01 nan
1.99639279e-01 nan
2.09619238e-01 nan
2.19599198e-01 nan
2.29579158e-01 nan
2.39559118e-01 -4.58337903e-01
2.49539078e-01 -4.54706147e-01
2.59519038e-01 -4.51070724e-01
2.69498998e-01 -4.47399066e-01
2.79478958e-01 -4.43643775e-01
2.89458918e-01 -4.39736899e-01
2.99438878e-01 -4.35565253e-01
3.09418838e-01 -4.29529515e-01
3.19398798e-01 -3.96899304e-01
3.29378758e-01 -2.34232243e-01
3.39358717e-01 1.07362306e-01
3.49338677e-01 4.59696875e-01
3.59318637e-01 7.00225202e-01
3.69298597e-01 8.36002651e-01
3.79278557e-01 9.07667331e-01
3.89258517e-01 9.44547600e-01
3.99238477e-01 9.63006592e-01
4.09218437e-01 9.71729415e-01
4.19198397e-01 9.75308015e-01
4.29178357e-01 9.76172418e-01
4.39158317e-01 9.75606970e-01
4.49138277e-01 9.74288325e-01
4.59118236e-01 9.72571246e-01
4.69098196e-01 9.70640381e-01
4.79078156e-01 9.68590751e-01
4.89058116e-01 9.66470379e-01
4.99038076e-01 9.64302844e-01
5.09018036e-01 9.62099183e-01
5.18997996e-01 9.59864149e-01
5.28977956e-01 9.57599480e-01
5.38957916e-01 9.55305578e-01
5.48937876e-01 9.52982358e-01
5.58917836e-01 9.50629649e-01
5.68897796e-01 9.48247374e-01
5.78877756e-01 9.45835618e-01
5.88857715e-01 9.43394633e-01
5.98837675e-01 9.40924825e-01
6.08817635e-01 9.38426729e-01
6.18797595e-01 9.35900984e-01
6.28777555e-01 9.33348310e-01
6.38757515e-01 9.30769486e-01
6.48737475e-01 9.28165334e-01
6.58717435e-01 9.25536707e-01
6.68697395e-01 9.22884474e-01
