# temperature_kelvin sz-expectation_hbar
3.00000000e-01 -4.35674119e-01
3.47474747e-01 -3.11219928e-01
3.94949495e-01 9.55183767e-01
4.42424242e-01 9.76216869e-01
4.89898990e-01 9.66071951e-01
5.37373737e-01 9.58565172e-01
5.84848485e-01 9.43734244e-01
6.32323232e-01 9.34968925e-01
6.79797980e-01 9.10838567e-01
7.27272727e-01 9.00981144e-01
7.74747475e-01 8.97563162e-01
8.22222222e-01 8.77017388e-01
8.69696970e-01 8.65609947e-01
9.17171717e-01 8.47027491e-01
9.64646465e-01 8.41216530e-01
1.01212121e+00 8.24354475e-01
1.05959596e+00 8.08944755e-01
1.10707071e+00 7.95429692e-01
1.15454545e+00 7.85117875e-01
1.20202020e+00 7.61636028e-01
1.24949495e+00 7.52717577e-01
1.29696970e+00 7.37004722e-01
1.34444444e+00 7.30920983e-01
1.39191919e+00 7.11114384e-01
1.43939394e+00 6.95774334e-01
1.48686869e+00 6.92288367e-01
1.53434343e+00 6.70278797e-01
1.58181818e+00 6.63640620e-01
1.62929293e+00 6.44511038e-01
1.67676768e+00 6.42401731e-01
1.72424242e+00 6.19810651e-01
1.77171717e+00 6.20764494e-01
1.81919192e+00 6.06201290e-01
1.86666667e+00 5.93454279e-01
1.91414141e+00 5.82065996e-01
1.96161616e+00 5.72761324e-01
2.00909091e+00 5.68299569e-01
2.05656566e+00 5.56337908e-01
2.10404040e+00 5.33918861e-01
2.15151515e+00 5.42910403e-01
2.19898990e+00 5.25964108e-01
2.24646465e+00 5.23861088e-01
2.29393939e+00 5.07578267e-01
2.34141414e+00 5.05853679e-01
2.38888889e+00 5.01742604e-01
2.43636364e+00 4.83108287e-01
2.48383838e+00 4.86387174e-01
2.53131313e+00 4.66242745e-01
2.57878788e+00 4.69534227e-01
2.62626263e+00 4.61065512e-01
2.67373737e+00 4.51116999e-01
2.72121212e+00 4.53031455e-01
2.76868687e+00 4.42091374e-01
2.81616162e+00 4.47100771e-01
2.86363636e+00 4.26198502e-01
2.91111111e+00 4.22731167e-01
2.95858586e+00 4.25304970e-01
3.00606061e+00 4.18470927e-01
3.05353535e+00 4.08487726e-01
3.10101010e+00 4.01472124e-01
3.14848485e+00 3.90177235e-01
3.19595960e+00 3.87412680e-01
3.24343434e+00 3.80026115e-01
3.29090909e+00 3.84084633e-01
3.33838384e+00 3.77904545e-01
3.38585859e+00 3.63501399e-01
3.43333333e+00 3.66719020e-01
3.48080808e+00 3.58417162e-01
3.52828283e+00 3.52954368e-01
3.57575758e+00 3.56412589e-01
3.62323232e+00 3.44868717e-01
3.67070707e+00 3.45506604e-01
3.71818182e+00 3.37727946e-01
3.76565657e+00 3.37678206e-01
3.81313131e+00 3.34957999e-01
3.86060606e+00 3.22268858e-01
3.90808081e+00 3.27181907e-01
3.95555556e+00 3.26735742e-01
4.00303030e+00 3.19097744e-01
4.05050505e+00 3.06773657e-01
4.09797980e+00 3.17720777e-01
4.14545455e+00 3.03057024e-01
4.19292929e+00 3.01622435e-01
4.24040404e+00 3.05021321e-01
4.28787879e+00 2.88818549e-01
4.33535354e+00 3.02035027e-01
4.38282828e+00 2.99405182e-01
4.43030303e+00 2.94992492e-01
4.47777778e+00 2.84640174e-01
4.52525253e+00 2.87705263e-01
4.57272727e+00 2.80840072e-01
4.62020202e+00 2.78883275e-01
4.66767677e+00 2.76158896e-01
4.71515152e+00 2.76797181e-01
4.76262626e+00 2.76263319e-01
4.81010101e+00 2.69568311e-01
4.85757576e+00 2.63412686e-01
4.90505051e+00 2.64206952e-01
4.95252525e+00 2.60896243e-01
5.00000000e+00 2.62686579e-01
